Flat profile:

Each sample counts as 0.01 seconds.
 no time accumulated

  %   cumulative   self              self     total           
 time   seconds   seconds    calls  Ts/call  Ts/call  name    
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_erase(std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >*)
  0.00      0.00     0.00       16     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::~_Rb_tree()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<Order*>::new_allocator()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::new_allocator<Order*>::~new_allocator()
  0.00      0.00     0.00       14     0.00     0.00  __gnu_cxx::__alloc_traits<std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >, std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_S_select_on_copy(std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&)
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_get_map_allocator() const
  0.00      0.00     0.00       14     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::end() const
  0.00      0.00     0.00       14     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_M_root() const
  0.00      0.00     0.00       14     0.00     0.00  std::allocator<Order*>::allocator<Order>(std::allocator<Order> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::allocator<Order*>::~allocator()
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_iterator<TradeEvent, TradeEvent const&, TradeEvent const*>::_Deque_iterator<std::_Deque_iterator<TradeEvent, TradeEvent&, TradeEvent*>, void>(std::_Deque_iterator<TradeEvent, TradeEvent&, TradeEvent*> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_iterator<Order, Order&, Order*>::_M_set_node(Order**)
  0.00      0.00     0.00       14     0.00     0.00  std::_Deque_iterator<Order, Order&, Order*>::_Deque_iterator()
  0.00      0.00     0.00       14     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > >::select_on_container_copy_construction(std::allocator<std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&)
  0.00      0.00     0.00       14     0.00     0.00  std::_Rb_tree_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       14     0.00     0.00  std::_Rb_tree_key_compare<std::less<double> >::_Rb_tree_key_compare(std::less<double> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::map<double, std::deque<Order, std::allocator<Order> >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::map(std::map<double, std::deque<Order, std::allocator<Order> >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&)
  0.00      0.00     0.00       14     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_Rb_tree_impl<std::less<double>, true>::_Rb_tree_impl(std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_Rb_tree_impl<std::less<double>, true> const&)
  0.00      0.00     0.00       14     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_Rb_tree(std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&)
  0.00      0.00     0.00       13     0.00     0.00  __gnu_cxx::new_allocator<Order>::~new_allocator()
  0.00      0.00     0.00       13     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::_M_ptr() const
  0.00      0.00     0.00       13     0.00     0.00  __gnu_cxx::__aligned_membuf<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::_M_addr() const
  0.00      0.00     0.00       13     0.00     0.00  std::_Rb_tree_node<std::pair<double const, std::deque<Order, std::allocator<Order> > > >::_M_valptr() const
  0.00      0.00     0.00       13     0.00     0.00  std::map<double, std::deque<Order, std::allocator<Order> >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::rend() const
  0.00      0.00     0.00       13     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::rend() const
  0.00      0.00     0.00       13     0.00     0.00  std::allocator<Order>::~allocator()
  0.00      0.00     0.00       13     0.00     0.00  std::_Deque_base<Order, std::allocator<Order> >::_M_get_Tp_allocator()
  0.00      0.00     0.00       13     0.00     0.00  std::_Rb_tree<double, std::pair<double const, std::deque<Order, std::allocator<Order> > >, std::_Select1st<std::pair<double const, std::deque<Order, std::allocator<Order> > > >, std::less<double>, std::allocator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.00     0.00       13     0.00     0.00  bool std::operator==<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > >(std::reverse_iterator<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&, std::reverse_iterator<std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > > const&)
  0.00      0.00     0.00       13     0.00     0.00  std::operator==(std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > const&, std::_Rb_tree_const_iterator<std::pair<double const, std::deque<Order, std::allocator<Order> > > > const&)
